ISO3_CODE,COUNTRY_NAME,AREA,maus_id,area_km2,d_ind_km,nearest_ind,industrial_flag,proposed_label,source,lon,lat,poly,area_ha,ndvi,tex,npts,industrial_new,industrial_old
GHA,Ghana,0.5726545208344516,GHA_M00118,0.5702047009937801,17.753235645078927,Asanko (Manso Nkwanta),False,"mining, unclassified",MausV2 (GHA box),-1.9624300798697336,6.6109989305798535,118,57.02047009934009,0.4429126977920532,0.0256835564277506,1.0,True,False
GHA,Ghana,0.07196499868409856,GHA_M00119,0.07165707115671409,16.9306716355007,Asanko (Manso Nkwanta),False,"mining, unclassified",MausV2 (GHA box),-1.958654814640708,6.601944039844891,119,7.165707115671886,,,,False,False
GHA,Ghana,0.8480405872876936,GHA_M00120,0.844387095443122,23.532128599696165,Awaso,False,"mining, unclassified",MausV2 (GHA box),-2.0549079204489487,6.286519618299821,120,84.43870954430614,0.732599675655365,0.0193275822975598,1.0,True,False
GHA,Ghana,0.07019377672056676,GHA_M00121,0.06989036202202051,14.686358433377833,Edikan (Ayanfuri),False,"mining, unclassified",MausV2 (GHA box),-1.997626856722809,6.050926031304892,121,6.989036202193212,,,,False,False
GHA,Ghana,0.14084346127616013,GHA_M00122,0.14023461395537412,14.337090964592818,Edikan (Ayanfuri),False,"mining, unclassified",MausV2 (GHA box),-1.9994965517457501,6.0442371917179045,122,14.023461395530425,,,,False,False
GHA,Ghana,0.6506806716567416,GHA_M00123,0.6478683873642312,14.758389619794968,Edikan (Ayanfuri),False,"mining, unclassified",MausV2 (GHA box),-1.99587094800508,6.0601087553714,123,64.7868387364334,0.39078468829393387,0.02688599509094625,2.0,True,False
GHA,Ghana,0.5071042820180925,GHA_M00124,0.5049126440373158,16.165420484232506,Edikan (Ayanfuri),False,"mining, unclassified",MausV2 (GHA box),-2.0101566666400883,6.065408190246986,124,50.491264403755785,0.567984402179718,0.02832565695019145,2.0,True,False
GHA,Ghana,2.605108471743767,GHA_M00125,2.5938492622953158,4.285633590431906,Kubi,True,industrial,MausV2 (GHA box),-1.7531216587533305,5.966416299207091,125,259.3849262295962,0.34974247217178345,0.032396130270681445,12.0,False,True
GHA,Ghana,0.004816392768792012,GHA_M00126,0.004795560464076659,6.519902378175105,Nsuta,False,"mining, unclassified",MausV2 (GHA box),-1.9761531427680907,5.212865855269354,126,0.4795560464079999,,,,False,False
GHA,Ghana,0.027376509726606064,GHA_M00127,0.027258107638229234,7.332378896378324,Nsuta,False,"mining, unclassified",MausV2 (GHA box),-1.9647750895213847,5.206964051141006,127,2.725810763822707,,,,False,False
